序号,关键词,长度,层级,来源,质量,父级关键词
1,"Mc国战服JAVA",9,"第1层","百度","高质量","MC国战服"
2,"linux mc java 开服",16,"第2层","必应","中等","Mc国战服JAVA"
3,"我的世界国战服务器",9,"第2层","百度","高质量","Mc国战服JAVA"
4,"mc java 服务器 mod",15,"第2层","必应","中等","Mc国战服JAVA"
5,"我的世界战国mod",9,"第2层","百度","高质量","Mc国战服JAVA"
6,"我的世界国服java",10,"第2层","百度","高质量","Mc国战服JAVA"
7,"minecraft国服",11,"第2层","百度","高质量","Mc国战服JAVA"
8,"mc国际服java版",10,"第2层","百度","高质量","Mc国战服JAVA"
9,"我的世界国际服战斗工艺",11,"第2层","百度","高质量","Mc国战服JAVA"
10,"minecraft国际服",12,"第2层","百度","高质量","Mc国战服JAVA"
11,"我的世界国际服装",8,"第2层","百度","高质量","Mc国战服JAVA"
12,"我的世界国际服军事模组",11,"第2层","百度","高质量","Mc国战服JAVA"
13,"mc国战视频",6,"第1层","360","高质量","MC国战服"
14,"我的世界国战",6,"第2层","百度","高质量","mc国战视频"
15,"我的世界国家战争游戏解说",12,"第2层","百度","高质量","mc国战视频"
16,"我的世界国家大战",8,"第2层","百度","高质量","mc国战视频"
17,"我的世界三国大战视频",10,"第2层","百度","高质量","mc国战视频"
18,"mc战斗视频",6,"第2层","百度","高质量","mc国战视频"
19,"我的世界国际版战争mod",12,"第2层","百度","高质量","mc国战视频"
20,"我的世界亡国之战",8,"第2层","百度","高质量","mc国战视频"
21,"我的世界视频战",7,"第2层","百度","高质量","mc国战视频"
22,"我的世界国际战争",8,"第2层","百度","高质量","mc国战视频"
23,"我的世界两国大战",8,"第2层","百度","高质量","mc国战视频"
24,"mc国战服",5,"第1层","必应","高质量","MC国战服"
25,"mc国战服务器",7,"第2层","百度","高质量","mc国战服"
26,"mc国战服务器推荐",9,"第2层","必应","高质量","mc国战服"
27,"mc国际服官网",7,"第2层","百度","高质量","mc国战服"
28,"mc战争服",5,"第2层","百度","高质量","mc国战服"
29,"mc国服版",5,"第2层","百度","高质量","mc国战服"
30,"我的世界国服装mod",10,"第2层","百度","高质量","mc国战服"



